oid_migrash,ms_gush,ms_migrash,k_yeud_rashi,t_yeud_rashi,Shape_Length,Shape_Area,Shape,ms_ezor,ms_ezor_shetach
11947,6968,249,1008,תחבורה,23.934299,12.1982,Polygon,,
11948,7153,261,0,ללא סיווג,95.807396,550.498612,Polygon,,
11949,7153,256,0,ללא סיווג,106.603785,704.640597,Polygon,,
11950,7153,320,0,ללא סיווג,119.644155,280.098527,Polygon,,
11951,6167,518,1006,שטחים פתוחים,77.064365,280.536996,Polygon,,
11952,6933,133,1008,תחבורה,424.63513,1922.251916,Polygon,,
11953,7435,18,1001,מגורים,117.833393,854.33383,Polygon,,
11954,6167,576,1008,תחבורה,44.345007,69.373767,Polygon,,
11955,9000,8,1001,מגורים,80.096204,382.931904,Polygon,,
11956,7091,47,1001,מגורים,99.119637,586.509002,Polygon,,
11957,9000,20,1001,מגורים,80.648073,379.014038,Polygon,,
11958,6920,2881,1008,תחבורה,81.11268,137.784943,Polygon,,
11959,6920,2073,1002,מסחר,119.061948,803.582393,Polygon,,
11960,6920,2891,1008,תחבורה,72.284455,158.037261,Polygon,,
11961,6920,2899,1008,תחבורה,33.572188,12.95119,Polygon,,
11962,6920,2875,1008,תחבורה,88.643324,160.391698,Polygon,,
11963,7056,2050,1006,שטחים פתוחים,257.623385,627.634926,Polygon,,
11964,6624,354,1001,מגורים,106.337126,679.811324,Polygon,,
11965,7242,2029,1002,מסחר,129.249102,792.548824,Polygon,,
11966,7242,79,1006,שטחים פתוחים,334.760204,3429.73357,Polygon,,
11967,6902,213,1001,מגורים,86.795131,443.863668,Polygon,,
11968,6955,175,1001,מגורים,81.931486,419.47906,Polygon,,
11969,6148,2077,1008,תחבורה,126.03208,602.366536,Polygon,,
11970,6149,2511,1008,תחבורה,103.749048,301.465164,Polygon,,
11971,6149,2514,1001,מגורים,211.062788,3008.483008,Polygon,,
11972,7463,2519,1006,שטחים פתוחים,62.328076,125.561555,Polygon,,
11973,7068,127,1001,מגורים,71.239543,298.826972,Polygon,,
