זיהוי ממג מגרש *,מספר גוש *,מספר מגרש *,קוד ייעוד ראשי,תיאור ייעוד ראשי,שטח רשום,שטח גרפי,Shape_Length,Shape_Area,צורה *
39758,6629,176,1008,תחבורה,66,76.59,103.257186,76.589896,Polygon
39759,6629,162,1008,תחבורה,246,211.91,224.934065,211.905124,Polygon
39760,6034,30,1006,שטחים פתוחים,34,34.12,38.390069,34.11584,Polygon
39761,6616,51,1003,תעסוקה,460,470.32,96.105632,470.323332,Polygon
39762,6969,11,1006,שטחים פתוחים,56,61.27,32.730709,61.274866,Polygon
39763,9011,2013,1006,שטחים פתוחים,130.27,130.36,56.473977,130.355226,Polygon
39764,9011,2015,1001,מגורים,238,238.65,64.353235,238.645129,Polygon
39765,6919,10,1009,שטח לתכנון בעתיד,203,201.66,57.472946,201.662477,Polygon
39766,7028,44,1001,מגורים,147.252325,144.02,49.09692,144.020215,Polygon
39767,6214,376,1001,מגורים,565,551.1,97.460502,551.103896,Polygon
39768,6214,384,1001,מגורים,557,561.54,98.480177,561.536766,Polygon
39769,6214,101,1008,תחבורה,307,310.29,231.151442,310.293081,Polygon
39770,6214,380,1001,מגורים,538,533.95,96.412686,533.954976,Polygon
39771,6973,2052,1001,מגורים,476.67,473.09,89.019163,473.094335,Polygon
39772,6985,103,1008,תחבורה,322,313.81,99.796162,313.807702,Polygon
39773,6985,67,1001,מגורים,596,592.43,97.288262,592.433554,Polygon
39774,6985,66,1001,מגורים,728,727.52,104.842152,727.519761,Polygon
39775,6214,372,1002,מסחר,593,591.73,103.346761,591.733502,Polygon
39776,6214,106,1008,תחבורה,1254,1287.29,273.195875,1287.287435,Polygon
39777,6214,397,1008,תחבורה,693,837.52,410.632331,837.517093,Polygon
39778,6214,327,1008,תחבורה,380,368.17,614.543486,368.173811,Polygon
39779,6214,281,1001,מגורים,225,227.84,60.74422,227.838976,Polygon
39780,6214,227,1008,תחבורה,670,673.27,120.541788,673.270081,Polygon
39781,6214,573,1001,מגורים,566,591.12,97.68977,591.120972,Polygon
39782,7001,72,1001,מגורים,70,69.58,33.887305,69.58269,Polygon
39783,7052,2028,1003,תעסוקה,92.81,88.39,39.206462,88.387654,Polygon
39784,6904,47,1001,מגורים,410,411.35,82.352826,411.351779,Polygon
39785,6951,9,1001,מגורים,500,505.33,93.168845,505.333106,Polygon
39786,7111,8,1005,מבנים ומוסדות ציבור,6557,6528.83,349.183183,6528.831574,Polygon
39787,6951,38,1001,מגורים,480,469.92,89.396124,469.916579,Polygon
39788,6628,85,1001,מגורים,525,532.81,93.785965,532.805451,Polygon
39789,6628,286,1006,שטחים פתוחים,507,502.3,91.583455,502.298115,Polygon
39790,6628,855,1001,מגורים,500,499.97,91.342936,499.965761,Polygon
